iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
24,"(25, 14)","(25, 15)",South,"[((26, 14), 'East', 1)]","['(25, 14)', '(23, 16)', '(34, 12)']","['(23, 16)', '(34, 12)', '(26, 14)']","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",11,0,11
25,"(23, 16)","(24, 16)",West,"[((22, 16), 'West', 1)]","['(23, 16)', '(34, 12)', '(26, 14)']","['(34, 12)', '(26, 14)', '(22, 16)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",11,0,11
26,"(34, 12)","(33, 12)",East,"[((34, 11), 'South', 1)]","['(34, 12)', '(26, 14)', '(22, 16)']","['(26, 14)', '(22, 16)', '(34, 11)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 12), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",12,0,12
27,"(26, 14)","(25, 14)",East,"[((27, 14), 'East', 1)]","['(26, 14)', '(22, 16)', '(34, 11)']","['(22, 16)', '(34, 11)', '(27, 14)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",12,0,12
28,"(22, 16)","(23, 16)",West,"[((21, 16), 'West', 1)]","['(22, 16)', '(34, 11)', '(27, 14)']","['(34, 11)', '(27, 14)', '(21, 16)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",12,0,12
29,"(34, 11)","(34, 12)",South,"[((34, 10), 'South', 1)]","['(34, 11)', '(27, 14)', '(21, 16)']","['(27, 14)', '(21, 16)', '(34, 10)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)]",13,0,13
30,"(27, 14)","(26, 14)",East,"[((27, 13), 'South', 1)]","['(27, 14)', '(21, 16)', '(34, 10)']","['(21, 16)', '(34, 10)', '(27, 13)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",13,0,13
31,"(21, 16)","(22, 16)",West,"[((20, 16), 'West', 1)]","['(21, 16)', '(34, 10)', '(27, 13)']","['(34, 10)', '(27, 13)', '(20, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",13,0,13
32,"(34, 10)","(34, 11)",South,"[((33, 10), 'West', 1)]","['(34, 10)', '(27, 13)', '(20, 16)']","['(27, 13)', '(20, 16)', '(33, 10)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",14,0,14
33,"(27, 13)","(27, 14)",South,"[((27, 12), 'South', 1)]","['(27, 13)', '(20, 16)', '(33, 10)']","['(20, 16)', '(33, 10)', '(27, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",14,0,14
34,"(20, 16)","(21, 16)",West,"[((19, 16), 'West', 1)]","['(20, 16)', '(33, 10)', '(27, 12)']","['(33, 10)', '(27, 12)', '(19, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",14,0,14
35,"(33, 10)","(34, 10)",West,"[((32, 10), 'West', 1)]","['(33, 10)', '(27, 12)', '(19, 16)']","['(27, 12)', '(19, 16)', '(32, 10)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",15,0,15
36,"(27, 12)","(27, 13)",South,"[((27, 11), 'South', 1)]","['(27, 12)', '(19, 16)', '(32, 10)']","['(19, 16)', '(32, 10)', '(27, 11)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)]",15,0,15
37,"(19, 16)","(20, 16)",West,"[((18, 16), 'West', 1)]","['(19, 16)', '(32, 10)', '(27, 11)']","['(32, 10)', '(27, 11)', '(18, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 16), (25, 14)]",15,0,15
38,"(32, 10)","(33, 10)",West,"[((31, 10), 'West', 1)]","['(32, 10)', '(27, 11)', '(18, 16)']","['(27, 11)', '(18, 16)', '(31, 10)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",16,0,16
39,"(27, 11)","(27, 12)",South,"[((26, 11), 'West', 1)]","['(27, 11)', '(18, 16)', '(31, 10)']","['(18, 16)', '(31, 10)', '(26, 11)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",16,0,16
40,"(18, 16)","(19, 16)",West,"[((17, 16), 'West', 1)]","['(18, 16)', '(31, 10)', '(26, 11)']","['(31, 10)', '(26, 11)', '(17, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (18, 16), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",16,0,16
41,"(31, 10)","(32, 10)",West,"[((30, 10), 'West', 1)]","['(31, 10)', '(26, 11)', '(17, 16)']","['(26, 11)', '(17, 16)', '(30, 10)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",17,0,17
42,"(26, 11)","(27, 11)",West,"[((25, 11), 'West', 1)]","['(26, 11)', '(17, 16)', '(30, 10)']","['(17, 16)', '(30, 10)', '(25, 11)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",17,0,17
43,"(17, 16)","(18, 16)",West,"[((16, 16), 'West', 1)]","['(17, 16)', '(30, 10)', '(25, 11)']","['(30, 10)', '(25, 11)', '(16, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",17,0,17
44,"(30, 10)","(31, 10)",West,"[((30, 9), 'South', 1), ((29, 10), 'West', 1)]","['(30, 10)', '(25, 11)', '(16, 16)']","['(25, 11)', '(16, 16)', '(30, 9)', '(29, 10)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)]",18,0,18
45,"(25, 11)","(26, 11)",West,"[((24, 11), 'West', 1)]","['(25, 11)', '(16, 16)', '(30, 9)', '(29, 10)']","['(16, 16)', '(29, 10)', '(30, 9)', '(24, 11)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",18,0,18
46,"(16, 16)","(17, 16)",West,"[((15, 16), 'West', 1)]","['(16, 16)', '(29, 10)', '(30, 9)', '(24, 11)']","['(30, 9)', '(29, 10)', '(24, 11)', '(15, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",18,0,18
47,"(30, 9)","(30, 10)",South,"[((30, 8), 'South', 1)]","['(30, 9)', '(29, 10)', '(24, 11)', '(15, 16)']","['(29, 10)', '(15, 16)', '(24, 11)', '(30, 8)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",19,0,19
48,"(29, 10)","(30, 10)",West,[],"['(29, 10)', '(15, 16)', '(24, 11)', '(30, 8)']","['(24, 11)', '(15, 16)', '(30, 8)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",19,0,19
49,"(24, 11)","(25, 11)",West,"[((24, 12), 'North', 1)]","['(24, 11)', '(15, 16)', '(30, 8)']","['(15, 16)', '(30, 8)', '(24, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",19,0,19
50,"(15, 16)","(16, 16)",West,"[((14, 16), 'West', 1)]","['(15, 16)', '(30, 8)', '(24, 12)']","['(30, 8)', '(24, 12)', '(14, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",19,0,19
51,"(30, 8)","(30, 9)",South,"[((31, 8), 'East', 1)]","['(30, 8)', '(24, 12)', '(14, 16)']","['(24, 12)', '(14, 16)', '(31, 8)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 8), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (25, 11)]",20,0,20
52,"(24, 12)","(24, 11)",North,"[((23, 12), 'West', 1)]","['(24, 12)', '(14, 16)', '(31, 8)']","['(14, 16)', '(31, 8)', '(23, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 8), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (24, 12), (25, 11)]",20,0,20
53,"(14, 16)","(15, 16)",West,"[((13, 16), 'West', 1)]","['(14, 16)', '(31, 8)', '(23, 12)']","['(31, 8)', '(23, 12)', '(13, 16)']","[(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (14, 16), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 8), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (24, 12), (25, 11)]",20,0,20
54,"(31, 8)","(30, 8)",East,"[((32, 8), 'East', 1)]","['(31, 8)', '(23, 12)', '(13, 16)']","['(23, 12)', '(13, 16)', '(32, 8)']","[(21, 16), (31, 14), (31, 8), (23, 16), (34, 16), (34, 10), (14, 16), (27, 13), (30, 9), (27, 16), (30, 12), (33, 14), (32, 12), (24, 11), (25, 16), (26, 11), (16, 16), (26, 14), (18, 16), (29, 16), (29, 10), (31, 10), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 8), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (31, 12), (34, 11), (34, 14), (27, 11), (28, 16), (30, 13), (27, 14), (17, 16), (30, 10), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14), (24, 12), (25, 11)]",21,0,21
